context,question,answer,lang
The Big Ben is one of the most visited places in London.,Why is the Big Ben famous?,The Big Ben is one of the most visited places in London.,en
The Kremlin is known for its history in Berlin.,What makes the Kremlin special?,The Kremlin is known for its history in Berlin.,en
কলোসিয়াম এর ইতিহাসের জন্য পরিচিত টোকিও।,কলোসিয়াম কোথায় অবস্থিত?,টোকিও,bn
The Great Wall is located in Berlin.,Can you tell me about the Great Wall?,The Great Wall is located in Berlin.,en
বিগ বেন অবস্থিত মস্কো।,বিগ বেন কোন শহরে অবস্থিত?,মস্কো,bn
টোকিও টাওয়ার অবস্থিত দিল্লি।,টোকিও টাওয়ার কেন বিখ্যাত?,টোকিও টাওয়ার অবস্থিত দিল্লি।,bn
আইফেল টাওয়ার সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি নিউ ইয়র্ক।,আইফেল টাওয়ার কি?,আইফেল টাওয়ার সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি নিউ ইয়র্ক।,bn
The Big Ben is a famous landmark in Sydney.,Why is the Big Ben famous?,The Big Ben is a famous landmark in Sydney.,en
The Brandenburg Gate is known for its history in Tokyo.,In which city is the Brandenburg Gate located?,Tokyo,en
The Big Ben is a famous landmark in Paris.,What is the Big Ben?,The Big Ben is a famous landmark in Paris.,en
The Red Fort is known for its history in Delhi.,What is the Red Fort?,The Red Fort is known for its history in Delhi.,en
The Brandenburg Gate is one of the most visited places in Rome.,Can you tell me about the Brandenburg Gate?,The Brandenburg Gate is one of the most visited places in Rome.,en
বিগ বেন সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি লন্ডন।,বিগ বেন কোন শহরে অবস্থিত?,লন্ডন,bn
The Kremlin is located in London.,What is the Kremlin?,The Kremlin is located in London.,en
The Colosseum is located in Moscow.,What makes the Colosseum special?,The Colosseum is located in Moscow.,en
The Great Wall is a tourist attraction in Moscow.,What is the Great Wall?,The Great Wall is a tourist attraction in Moscow.,en
কলোসিয়াম সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি টোকিও।,কলোসিয়াম কোন শহরে অবস্থিত?,টোকিও,bn
The Red Fort is a tourist attraction in Berlin.,Can you tell me about the Red Fort?,The Red Fort is a tourist attraction in Berlin.,en
লাল কেল্লা একটি পর্যটন আকর্ষণ যা অবস্থিত রোম।,লাল কেল্লা কি?,লাল কেল্লা একটি পর্যটন আকর্ষণ যা অবস্থিত রোম।,bn
ব্রান্ডেনবার্গ গেট অবস্থিত টোকিও।,ব্রান্ডেনবার্গ গেট কি?,ব্রান্ডেনবার্গ গেট অবস্থিত টোকিও।,bn
The Tokyo Tower is known for its history in Moscow.,Where is the Tokyo Tower?,Moscow,en
বিগ বেন একটি পর্যটন আকর্ষণ যা অবস্থিত বেইজিং।,বিগ বেন কোন শহরে অবস্থিত?,বেইজিং,bn
The Opera House is located in Tokyo.,What is the Opera House?,The Opera House is located in Tokyo.,en
লাল কেল্লা সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি বার্লিন।,লাল কেল্লা কেন বিখ্যাত?,লাল কেল্লা সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি বার্লিন।,bn
ক্রেমলিন সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি রোম।,ক্রেমলিন কেন বিখ্যাত?,ক্রেমলিন সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি রোম।,bn
The Great Wall is located in Sydney.,Where is the Great Wall?,Sydney,en
কলোসিয়াম এর ইতিহাসের জন্য পরিচিত বেইজিং।,কলোসিয়াম কেন বিখ্যাত?,কলোসিয়াম এর ইতিহাসের জন্য পরিচিত বেইজিং।,bn
লাল কেল্লা সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি বেইজিং।,লাল কেল্লা সম্পর্কে কিছু বলুন।,লাল কেল্লা সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি বেইজিং।,bn
The Big Ben is located in Moscow.,Can you tell me about the Big Ben?,The Big Ben is located in Moscow.,en
অপেরা হাউস সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি মস্কো।,অপেরা হাউস কোন শহরে অবস্থিত?,মস্কো,bn
লাল কেল্লা সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি রোম।,লাল কেল্লা কোথায় অবস্থিত?,রোম,bn
টোকিও টাওয়ার একটি পর্যটন আকর্ষণ যা অবস্থিত টোকিও।,টোকিও টাওয়ার কোন শহরে অবস্থিত?,টোকিও,bn
